HRV ANALYSIS RESULTS - 03-Apr-2025 22:41:42
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: E:\Anna\Sleep\2025-04-01_15.55.15_E_T_20_09_11_SD_Session1\E_T_20_09_11_Session1_sleep_1_Calibrated_SD.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: RR data
Data length: 00:30:15 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 6
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,
  Sample limits (hh:mm:ss):   ,00:00:00-00:05:00,00:05:00-00:10:00,00:10:00-00:15:00,00:15:00-00:20:00,00:20:00-00:25:00,00:25:01-00:30:01,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         442,         437,         430,         433,         424,         421,
  Beats corrected:            ,           3,           0,           2,           0,           1,           2,
  Beats corrected (%):        ,       0.679,           0,       0.465,           0,       0.236,       0.475,
  Effective data length (s):  ,         300,         300,         300,         300,         300,         300,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,
                              ,    00:06:30,         437,           0,      0.0000,         300,    100.0000,     -1.9157,      3.0487,     19.3366,      5.0055,     25.9602,      0.2617,      1.3976,    686.3894,     23.3872,     87.4139,      2.9722,     77.5366,     96.4521,     14.3867,           2,      0.4587,      6.6212,    115.0000,     10.1303,     14.1016,    -13.0008,    -16.7950,    0.033333,    0.096667,    0.166667,     18.4594,    503.9927,     60.9743,      2.9156,      6.2226,      4.1105,      3.1563,     86.1745,     10.4256,     88.9831,     10.7654,      8.2657,      0.2466,     10.1847,     31.4974,      3.0926,      1.1408,      1.3659,      1.5825,      0.4503,
                              ,    00:07:30,         436,           0,      0.0000,         300,    100.0000,     -1.9172,      3.0576,     19.4194,      4.6518,     30.6120,      0.2302,      1.6278,    686.8101,     23.1175,     87.3604,      2.9286,     77.5366,     96.4521,     14.2390,           2,      0.4598,      5.7368,    113.0000,     10.0565,     13.8871,    -12.1865,    -15.9369,    0.030000,    0.093333,    0.166667,     30.6306,    395.6610,     78.6788,      3.4220,      5.9806,      4.3654,      6.1038,     78.8434,     15.6783,     83.9686,     16.6975,      5.0288,      0.2427,     10.0801,     31.1013,      3.0854,      1.1283,      1.3700,      1.6434,      0.4330,
                              ,    00:08:30,         436,           1,      0.2294,         300,    100.0000,     -1.9239,      2.9892,     19.0491,      5.6066,     36.2186,      0.3204,      1.9483,    688.0610,     22.4744,     87.2016,      2.8808,     80.2508,     96.4521,     13.7796,           2,      0.4598,      5.8919,    110.0000,      9.1887,     13.1674,    -10.8652,    -14.4197,    0.040000,    0.066667,    0.163333,     34.8974,    315.7179,     87.5456,      3.5524,      5.7548,      4.4722,      8.0298,     72.6462,     20.1441,     78.9889,     21.9029,      3.6063,      0.2289,      9.7554,     30.1278,      3.0883,      1.1120,      1.3051,      1.4845,      0.3540,
                              ,    00:09:30,         436,           1,      0.2294,         300,    100.0000,     -1.9177,      2.8663,     18.2624,      5.3501,     41.5687,      0.2945,      2.2428,    688.4462,     23.2156,     87.1528,      2.9691,     79.1549,     97.5238,     14.0771,           3,      0.6897,      5.8919,    113.0000,      9.1938,     13.3669,     -9.8786,    -13.9807,    0.036667,    0.063333,    0.163333,      9.9029,    284.9826,     67.6978,      2.2928,      5.6524,      4.2151,      2.7189,     78.2453,     18.5872,     80.4322,     19.1067,      4.2096,      0.2199,      9.9655,     31.2864,      3.1395,      1.0828,      1.2599,      1.4495,      0.3544,
                              ,    00:10:30,         436,           2,      0.4587,         300,    100.0000,     -1.9262,      2.8863,     18.3068,      4.5284,     46.0971,      0.2197,      2.4625,    687.5646,     23.8414,     87.2645,      3.0688,     79.1549,     97.5238,     14.1244,           4,      0.9195,      5.5190,    113.0000,      8.9155,     12.6820,    -10.2574,    -14.2085,    0.020000,    0.076667,    0.160000,     11.7551,    535.8270,     46.7547,      2.4643,      6.2838,      3.8449,      1.9722,     89.8963,      7.8441,     91.7049,      8.0019,     11.4604,      0.2168,      9.9991,     32.2270,      3.2230,      1.0235,      1.1538,      1.5525,      0.4279,
                              ,    00:11:30,         434,           2,      0.4608,         300,    100.0000,     -1.9809,      2.5557,     16.2913,      4.7319,     50.8290,      0.2372,      2.6997,    692.4500,     23.0897,     86.6489,      2.9539,     79.1549,     97.5238,     12.2033,           2,      0.4619,      5.1667,    111.0000,      7.5717,      9.9902,    -10.7835,    -12.5265,    0.036667,    0.076667,    0.153333,     39.7299,    651.3454,     40.3534,      3.6821,      6.4790,      3.6977,      5.4591,     89.4990,      5.5448,     94.6670,      5.8650,     16.1410,      0.2163,      8.6390,     31.5212,      3.6487,      1.0098,      1.0777,      1.6139,      0.3947,
                              ,    00:12:30,         430,           2,      0.4651,         300,    100.0000,     -1.9545,      2.4994,     16.1685,      4.6142,     55.4432,      0.2270,      2.9267,    698.3054,     24.9716,     85.9223,      3.1437,     79.1549,     97.5238,     12.5576,           2,      0.4662,      6.5152,    117.0000,      9.1740,     10.9477,    -11.6080,    -13.4138,    0.040000,    0.080000,    0.210000,     46.5413,    463.0403,     48.4756,      3.8403,      6.1378,      3.8811,      8.5488,     85.0517,      8.9040,     93.0022,      9.7364,      9.5520,      0.1906,      8.8900,     34.2051,      3.8476,      1.0475,      1.0718,      1.6771,      0.4008,
                              ,    00:13:30,         431,           1,      0.2320,         300,    100.0000,     -1.9391,      2.5068,     16.2413,      4.9005,     60.3437,      0.2521,      3.1789,    697.0399,     23.9301,     86.0783,      3.0107,     79.1549,     97.5238,     12.8213,           2,      0.4651,      5.9041,    108.0000,      8.8204,     11.2493,    -12.4797,    -14.7182,    0.040000,    0.083333,    0.160000,     38.2762,    445.2782,     41.7364,      3.6448,      6.0987,      3.7314,      7.6208,     88.6548,      8.3097,     95.9683,      8.9952,     10.6688,      0.1976,      9.0776,     32.5125,      3.5816,      1.1029,      1.2113,      1.6052,      0.4178,
                              ,    00:14:30,         431,           1,      0.2320,         300,    100.0000,     -1.9323,      2.5353,     16.3934,      4.5473,     64.8910,      0.2213,      3.4002,    695.3474,     23.2691,     86.2878,      2.9466,     80.1043,     95.5521,     13.0323,           1,      0.2326,      5.7467,    106.0000,      9.0219,     10.9772,    -15.2221,    -16.4510,    0.040000,    0.083333,    0.273333,     42.1390,    482.7322,     39.4372,      3.7410,      6.1795,      3.6747,      7.7563,     88.8537,      7.2590,     96.3249,      7.8693,     12.2405,      0.2032,      9.2260,     31.6262,      3.4280,      1.1206,      1.3246,      1.5876,      0.4152,
                              ,    00:15:30,         433,           0,      0.0000,         300,    100.0000,     -1.9261,      2.1280,     13.6305,      4.9246,     69.8157,      0.2543,      3.6545,    693.6075,     26.2230,     86.5043,      3.2796,     77.1084,     95.7905,     13.9691,           1,      0.2315,      6.3676,    149.0000,      9.0536,     11.6681,    -15.2540,    -16.6715,    0.036667,    0.086667,    0.166667,     22.0174,    421.5957,     64.9559,      3.0918,      6.0440,      4.1737,      4.3080,     82.4907,     12.7095,     86.2044,     13.2816,      6.4905,      0.2109,      9.8891,     35.7847,      3.6186,      1.1408,      1.2717,      1.5579,      0.4045,
