HRV ANALYSIS RESULTS - 03-Apr-2025 22:46:59
Kubios HRV Premium
3.5.0
released in May 2021

Analyzed by:  -  - 

File name: E:\Anna\Sleep\2025-04-02_14.21.11_sleep_2_SD_Session1\sleep_2_Session1_Shimmer_FBA9_Calibrated_SD.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: RR data
Data length: 00:30:04 (h:min:s)
Measurement rate: - 

Parameters
 Number of samples: 6
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,
  Sample limits (hh:mm:ss):   ,00:00:03-00:05:03,00:05:03-00:10:03,00:10:03-00:15:03,00:15:03-00:20:03,00:20:03-00:25:03,00:25:03-00:30:03,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,         394,         388,         405,         395,         385,         381,
  Beats corrected:            ,           8,           7,           6,           4,           5,           5,
  Beats corrected (%):        ,        2.03,         1.8,        1.48,        1.01,         1.3,        1.31,
  Effective data length (s):  ,         294,         296,         300,         296,         295,         294,
  Effective data length (%):  ,       97.99,       98.66,      100.00,       98.67,       98.33,       97.97,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,
  MSE(6):                     ,      1.7603,            ,      1.7387,            ,      1.8522,            ,      1.9544,            ,      1.7259,            ,      1.4716,            ,
  MSE(7):                     ,      1.2902,            ,      1.4887,            ,      1.6556,            ,      1.6598,            ,      1.6674,            ,      1.0840,            ,
  MSE(8):                     ,      1.4620,            ,      1.5046,            ,      1.3169,            ,      1.1690,            ,      1.6434,            ,      1.1398,            ,
  MSE(9):                     ,      1.2046,            ,      1.1045,            ,      1.6190,            ,      1.2568,            ,      1.7142,            ,      2.4355,            ,
  MSE(10):                    ,      1.7045,            ,      1.0979,            ,      1.0128,            ,      1.1444,            ,      1.0438,            ,      1.3562,            ,
  MSE(11):                    ,      1.0221,            ,      1.2040,            ,      1.2077,            ,      1.0389,            ,      0.9409,            ,      0.9418,            ,
  MSE(12):                    ,      1.4926,            ,      0.9329,            ,      1.0557,            ,      1.2890,            ,      1.3515,            ,      0.8973,            ,
  MSE(13):                    ,      0.5320,            ,      1.0533,            ,      1.7648,            ,      0.5396,            ,      1.2082,            ,      0.7923,            ,
  MSE(14):                    ,      0.5436,            ,      1.1537,            ,      0.9892,            ,      0.6516,            ,      0.8866,            ,      0.5819,            ,
  MSE(15):                    ,      0.8902,            ,      0.9827,            ,      0.9942,            ,      1.0170,            ,      1.1279,            ,      1.2142,            ,
  MSE(16):                    ,      0.9758,            ,      1.0638,            ,      1.0463,            ,      0.7584,            ,      0.8631,            ,      1.2703,            ,
  MSE(17):                    ,      1.0770,            ,      0.6133,            ,      0.8233,            ,      1.0056,            ,      0.9522,            ,      0.4525,            ,
  MSE(18):                    ,      0.8782,            ,      1.4015,            ,      0.4677,            ,      0.8419,            ,      0.5906,            ,      1.0761,            ,
  MSE(19):                    ,      0.8952,            ,      0.9905,            ,      0.8137,            ,      0.8474,            ,      0.8409,            ,      0.4081,            ,
  MSE(20):                    ,      0.4562,            ,      0.7330,            ,      0.6056,            ,      0.7024,            ,      0.8200,            ,      0.8412,            ,


TIME-VARYING RESULTS          ,
                              ,  WHOLE DATA,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,
                              ,            ,            ,            ,            ,            ,            ,    Overview,            ,            ,            ,            ,            ,            , Time-Domain,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            , Freq-Domain,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,   Nonlinear,            ,            ,            ,            ,            ,            ,
                              ,        Time, Beats total,Beats corrected,Beats corrected,Effective data length,Effective data length,   PNS index,   SNS index,Stress index, EE activity, EE activity,   Intensity,        Load,     Mean RR,        SDNN,     Mean HR,       SD HR,      Min HR,      Max HR,       RMSSD,        NNxx,       pNNxx,       HRVti,        TINN,          DC,       DCmod,          AC,       ACmod,    VLF peak,     LF peak,     HF peak,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,    LF power,    HF power, LF/HF ratio,        RESP,         SD1,         SD2,     SD2/SD1,        ApEn,      SampEn,      DFA a1,      DFA a2,
                              ,  (hh:mm:ss),     (count),     (count),         (%),       (sec),         (%),            ,            ,            ,  (kcal/min),      (kcal), (TRIMP/min),     (TRIMP),        (ms),        (ms),     (1/min),     (1/min),     (1/min),     (1/min),        (ms),     (count),         (%),            ,        (ms),        (ms),        (ms),        (ms),        (ms),        (Hz),        (Hz),        (Hz),      (ms^2),      (ms^2),      (ms^2),       (log),       (log),       (log),         (%),         (%),         (%),      (n.u.),      (n.u.),            ,        (Hz),        (ms),        (ms),            ,            ,            ,            ,            ,
                              ,    00:02:30,         390,           8,      2.0513,         293,     97.6351,     -1.5038,      2.1347,     16.5263,      3.0857,      3.0857,      0.1143,      0.1143,    743.1248,     26.0478,     80.7401,      2.9115,     74.0598,    423.7241,     18.5219,           6,      1.5424,      6.9643,    117.0000,      9.4526,     17.4634,    -14.0637,    -21.3420,    0.026667,    0.063333,    0.150000,     63.3085,    591.2524,     84.7191,      4.1480,      6.3822,      4.4393,      8.6625,     80.9006,     11.5920,     88.5732,     12.6914,      6.9790,      0.3034,     13.1144,     34.3686,      2.6207,      1.1921,      1.5675,      1.4365,      0.5227,
